ID,Station Name,Street Address,City,ZIP,Latitude,Longitude,Location, # of Level1,#of level 2,Super chager,number of chager,Service ability(daily)
44327,Bay Ridge Nissan,6501 5th Ave,Brooklyn,11220,40.636324,-74.019228,"(40.636324, -74.019228)",,1,,1,16
95438,BEAM CHARGING / 200 CADMAN PLZ,75 Henry Street,Brooklyn,11221,40.698673,-73.992427,"(40.698673, -73.992427)",,1,,1,16
94831,Parking Garage,59 Paidge Ave,Brooklyn,11222,40.737171,-73.949257,"(40.737171, -73.949257)",,8,,8,128
67704,TAPPS,2213 Gerritsen Ave,Brooklyn,11229,40.6015954,-73.9346045,"(40.6015954, -73.9346045)",,2,,2,32
82003,Quik Park - Tesla,365 Bond St,Brooklyn,11231,40.677433,-73.990299,"(40.677433, -73.990299)",,2,,2,32
95209,IKEA - Brooklyn,One Beard St,Brooklyn,11231,40.672247,-74.011183,"(40.672247, -74.011183)",,4,,4,64
57799,ATA HOUSING,249 Thomas S Boyland St,Brooklyn,11233,40.675072,-73.9131319,"(40.675072, -73.9131319)",,2,,2,32
44329,Kings Nissan,2758 Coney Island Ave,Brooklyn,11235,40.589167,-73.960707,"(40.589167, -73.960707)",,1,,1,16
85440,THE VUE,1809 Emmons Ave,Brooklyn,11235,40.5837551,-73.9501228,"(40.5837551, -73.9501228)",,,2,2,64
82011,iPark - Tesla,249 N 7th St,Brooklyn,11248,40.716085,-73.954508,"(40.716085, -73.954508)",,2,,2,32
82013,iPark - Tesla,386 E 48th St,New York,11248,40.751919,-73.965135,"(40.751919, -73.965135)",,2,,2,32
74533,iPark - Tesla,34 N 6th St,Brooklyn,11249,40.720119,-73.963585,"(40.720119, -73.963585)",,2,,2,32
78978,The William Vale Hotel - Tesla,111 N 12th St,Brooklyn,11249,40.722098,-73.957163,"(40.722098, -73.957163)",,4,,4,64
89454,City Parking Linc Garage - Tesla,62 Northside Piers,Brooklyn,11249,40.719425,-73.963964,"(40.719425, -73.963964)",,2,,2,32
102327,North 12 Parking - Tesla Supercharger,113 N 12th St,Brooklyn,11249,40.722344,-73.957179,"(40.722344, -73.957179)",,,4,4,128
102686,BEAM CHARGING,444 Kent Ave,Brooklyn,11249,40.7091577,-73.9684904,"(40.7091577, -73.9684904)",,2,,2,32
76288,QUEENS COLLEGE,153-23 61st Rd,Queens,11367,40.7388662,-73.8171461,"(40.7388662, -73.8171461)",,2,,2,32
76289,QUEENS COLLEGE,153-26 61st Rd,Queens,11367,40.7385319,-73.8172036,"(40.7385319, -73.8172036)",,2,,2,32
68795,PANYNJ,E End Rd La Guardia Airport,New York,11371,40.7707522,-73.866327,"(40.7707522, -73.866327)",,2,,2,32
